ds,Y
1/4/2022,33188.39453
1/5/2022,32877.80469
1/6/2022,33720.82813
1/7/2022,34785.69531
1/10/2022,34475.10938
1/11/2022,34963.17188
1/12/2022,37403.49609
1/13/2022,39045.16797
1/14/2022,39267.01563
1/17/2022,38734.58203
1/18/2022,39843.82031
1/19/2022,38734.58203
1/20/2022,41441.12109
1/21/2022,42017.92578
1/24/2022,41618.60156
1/25/2022,43482.11719
1/26/2022,42683.46875
1/27/2022,42239.77344
1/28/2022,42550.35938
2/7/2022,42062.29297
2/8/2022,42017.92578
2/9/2022,42949.68359
2/10/2022,42949.68359
2/11/2022,42505.98828
2/14/2022,39710.71094
2/15/2022,40997.42578
2/16/2022,40065.66797
2/17/2022,40819.94922
2/18/2022,39666.33984
2/21/2022,40154.40625
2/22/2022,40819.94922
2/23/2022,40464.99219
2/24/2022,39577.60156
2/25/2022,39533.23438
2/28/2022,38778.94922
3/1/2022,39133.90625
3/2/2022,37669.71484
3/3/2022,37980.30078
3/4/2022,38423.99609
3/7/2022,37492.23438
3/8/2022,36915.43359
3/9/2022,35939.30078
3/10/2022,36338.62891
3/11/2022,37137.27734
3/14/2022,36649.21484
3/15/2022,37359.125
3/16/2022,36915.43359
3/17/2022,38601.47266
3/18/2022,38956.42969
3/21/2022,38867.69141
3/22/2022,38601.47266
3/23/2022,38512.73438
3/24/2022,38246.51563
3/25/2022,38557.10547
3/28/2022,36915.43359
3/29/2022,37625.34375
3/30/2022,38645.84375
3/31/2022,38601.47266
4/1/2022,39355.75391
4/4/2022,39267.01563
4/5/2022,38423.99609
4/6/2022,38601.47266
4/7/2022,38202.14844
4/8/2022,37181.64844
4/12/2022,35894.93359
4/13/2022,36294.25781
4/14/2022,35939.30078
4/15/2022,34874.43359
4/18/2022,33676.45703
4/19/2022,33676.45703
4/20/2022,33676.45703
4/21/2022,34164.52344
4/22/2022,34164.52344
4/25/2022,31812.9375
4/26/2022,32744.69727
4/27/2022,33010.91406
4/28/2022,32567.2207
4/29/2022,33055.28516
5/4/2022,33055.28516
5/5/2022,33898.30469
5/6/2022,32833.4375
5/9/2022,30570.5918
5/10/2022,31768.56836
5/11/2022,32034.78516
5/12/2022,29816.31055
5/13/2022,28219.00781
5/16/2022,28573.96484
5/17/2022,30570.5918
5/18/2022,30969.91797
5/19/2022,30748.07031
5/20/2022,30614.96094
5/23/2022,29594.46289
5/24/2022,29949.41797
5/25/2022,30969.91797
5/26/2022,31147.39648
5/27/2022,31324.87305
